"game_id","season","week","game_date","game_time_eastern","home_team_abbr","visitor_team_abbr","play_id","play_description","quarter","game_clock","down","yards_to_go","possession_team","defensive_team","yardline_side","yardline_number","pre_snap_home_score","pre_snap_visitor_score","play_nullified_by_penalty","pass_result","pass_length","offense_formation","receiver_alignment","route_of_targeted_receiver","play_action","dropback_type","dropback_distance","pass_location_type","defenders_in_the_box","team_coverage_man_zone","team_coverage_type","penalty_yards","pre_penalty_yards_gained","yards_gained","expected_points","expected_points_added","pre_snap_home_team_win_probability","pre_snap_visitor_team_win_probability","home_team_win_probability_added","visitor_team_win_probility_added"
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",3461,"(10:46) (Shotgun) J.Goff pass deep left to J.Reynolds to DET 41 for 18 yards (J.Williams) [L.Sneed].",4,"10:46",3,12,"DET","KC","DET",23,20,14,"N","C",18,"EMPTY","3x2","IN",FALSE,"TRADITIONAL",5.30000019073486,"INSIDE_BOX",6,"ZONE_COVERAGE","COVER_2_ZONE",NA,18,18,-0.664415705017745,2.9458472840488,0.834296315908432,0.165703684091568,-0.0811488702893257,0.0811488702893257
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",461,"(7:30) J.Goff pass short right to J.Reynolds to KC 45 for 21 yards (T.McDuffie).",1,"07:30",1,10,"DET","KC","DET",34,0,0,"N","C",13,"SINGLEBACK","3x1","POST",TRUE,"TRADITIONAL",4.71999979019165,"INSIDE_BOX",7,"ZONE_COVERAGE","COVER_6_ZONE",NA,21,21,1.92613148875535,1.34563262574375,0.544618390500546,0.455381609499454,-0.0294154658913612,0.0294154658913612
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",1940,"(:09) (Shotgun) J.Goff pass incomplete deep right to M.Jones.",2,"00:09",2,10,"DET","KC","DET",42,14,7,"N","I",18,"SHOTGUN","3x1","OUT",FALSE,"TRADITIONAL",4.44000005722046,"INSIDE_BOX",6,"ZONE_COVERAGE","COVER_2_ZONE",NA,0,0,0.281890904938336,-0.0819641283596866,0.771993696689606,0.228006303310394,0.000791281461715698,-0.000791281461715698
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",1711,"(:45) (No Huddle, Shotgun) P.Mahomes pass deep left to Ju.Watson pushed ob at DET 4 for 26 yards (C.Gardner-Johnson).",2,"00:45",1,10,"KC","DET","DET",30,7,7,"N","C",23,"SHOTGUN","3x1","CORNER",FALSE,"TRADITIONAL",5.3600001335144,"INSIDE_BOX",5,"ZONE_COVERAGE","COVER_2_ZONE",NA,26,26,3.45235198986484,2.34294713230338,0.663186952471733,0.336813047528267,0.0418428108096123,-0.0418428108096123
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",1588,"(1:54) (Shotgun) P.Mahomes pass incomplete deep left to R.James.",2,"01:54",1,10,"KC","DET","KC",43,7,7,"N","I",38,"SHOTGUN","2x2","POST",FALSE,"TRADITIONAL",4.59000015258789,"INSIDE_BOX",6,"ZONE_COVERAGE","COVER_4_ZONE",NA,0,0,1.92152504238766,-0.324034651275724,0.615035425871611,0.384964574128389,6.08861446380615e-05,-6.08861446380615e-05
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",101,"(14:25) (Shotgun) J.Goff pass incomplete deep right to J.Reynolds.",1,"14:25",3,3,"DET","KC","DET",32,0,0,"N","I",22,"SHOTGUN","2x2","CORNER",FALSE,"TRADITIONAL",2.13000011444092,"INSIDE_BOX",6,"ZONE_COVERAGE","COVER_2_ZONE",NA,0,0,0.927020542323589,-2.14544250350446,0.590425703674555,0.409574296325445,0.0497195683419704,-0.0497195683419704
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",3566,"(8:31) J.Goff pass short right to J.Reynolds to KC 14 for 33 yards (W.Gay).",4,"08:31",1,10,"DET","KC","KC",47,20,14,"N","C",15,"I_FORM","2x1","HITCH",TRUE,"TRADITIONAL",7.36999988555908,"INSIDE_BOX",7,"MAN_COVERAGE","COVER_1_MAN",NA,33,33,2.9745472415816,2.12227008841,0.739287927746773,0.260712072253227,-0.0994538590312004,0.0994538590312004
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",902,"(13:54) (Shotgun) P.Mahomes pass incomplete short left to R.Rice.",2,"13:54",1,10,"KC","DET","DET",25,0,7,"N","I",4,"SHOTGUN","3x1","HITCH",FALSE,"TRADITIONAL",2.84999990463257,"INSIDE_BOX",6,"MAN_COVERAGE","COVER_1_MAN",NA,0,0,4.40578598435968,-0.407669868902303,0.49089565128088,0.50910434871912,-0.0112062841653824,0.0112062841653824
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",1069,"(11:50) J.Goff pass short middle to B.Wright to DET 34 for 9 yards (N.Bolton, W.Gay).",2,"11:50",1,10,"DET","KC","DET",25,7,7,"N","C",5,"SINGLEBACK","3x1","IN",FALSE,"TRADITIONAL",4.8899998664856,"INSIDE_BOX",7,"ZONE_COVERAGE","COVER_3_ZONE",NA,9,9,1.34707375615835,0.56685445853509,0.554222133010626,0.445777866989374,-0.0169842131435871,0.0169842131435871
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",2261,"(12:31) (Shotgun) J.Goff pass short left to S.LaPorta to DET 11 for 4 yards (J.Reid) [F.Anudike-Uzomah].",3,"12:31",3,10,"DET","KC","DET",7,14,7,"N","C",3,"SHOTGUN","3x1","CROSS",FALSE,"TRADITIONAL",4.76000022888184,"INSIDE_BOX",5,"MAN_COVERAGE","COVER_1_MAN",NA,4,4,-1.29089459963143,-1.33424739446491,0.833186000585556,0.166813999414444,0.0205992367118597,-0.0205992367118597
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",2435,"(10:54) (Shotgun) P.Mahomes pass short left to I.Pacheco pushed ob at KC 32 for 7 yards (D.Barnes) [C.Harris].",3,"10:54",1,10,"KC","DET","KC",25,14,14,"N","C",-6,"SHOTGUN","3x1","FLAT",TRUE,"DESIGNED_ROLLOUT_RIGHT",5.1100001335144,"OUTSIDE_RIGHT",8,"ZONE_COVERAGE","COVER_2_ZONE",NA,7,7,1.45220551593229,0.2428507222794,0.609916348010302,0.390083651989698,-0.00125265121459961,0.00125265121459961
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",2906,"(3:00) (Shotgun) P.Mahomes pass short right to B.Bell pushed ob at DET 17 for 8 yards (A.Anzalone).",3,"03:00",1,10,"KC","DET","DET",25,14,14,"N","C",0,"PISTOL","2x1","CROSS",TRUE,"SCRAMBLE",4.94000005722046,"OUTSIDE_RIGHT",7,"ZONE_COVERAGE","COVER_2_ZONE",NA,8,8,4.44586117728613,0.718973233597353,0.679096665233374,0.320903334766626,0.0255451053380966,-0.0255451053380966
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",713,"(2:11) (Shotgun) P.Mahomes pass incomplete short left to N.Gray (A.Anzalone).",1,"02:11",2,8,"KC","DET","KC",27,0,7,"N","I",4,"SHOTGUN","2x2","OUT",FALSE,"TRADITIONAL",3.53999996185303,"INSIDE_BOX",5,"ZONE_COVERAGE","COVER_4_ZONE",NA,0,0,0.948263925034553,-0.873873966280371,0.409554831683636,0.590445168316364,-0.0261344760656357,0.0261344760656357
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",1741,"(:37) (Shotgun) P.Mahomes pass short right to B.Bell for 4 yards, TOUCHDOWN.",2,"00:37",1,4,"KC","DET","DET",4,7,7,"N","C",4,"EMPTY","4x1","HITCH",FALSE,"TRADITIONAL",3.44000005722046,"INSIDE_BOX",9,"MAN_COVERAGE","COVER_0_MAN",NA,4,4,5.79529912216822,1.20470087783178,0.705029763281345,0.294970236718655,0.04821902140975,-0.04821902140975
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",3971,"(2:19) (Shotgun) P.Mahomes pass incomplete short middle to S.Moore (C.Gardner-Johnson).",4,"02:19",2,20,"KC","DET","KC",35,20,21,"N","I",7,"SHOTGUN","3x1","HITCH",FALSE,"TRADITIONAL",4.13000011444092,"INSIDE_BOX",6,"ZONE_COVERAGE","COVER_3_ZONE",NA,0,0,1.23388851783238,-0.6549717921298,0.558660876005888,0.441339123994112,-0.104614213109016,0.104614213109016
2023090700,2023,1,"09/07/2023","20:20:00","KC","DET",3032,"(2:10) (Shotgun) J.Goff pass incomplete short right to A.St. Brown (J.Reid).",3,"02:10",1,10,"DET","KC","DET",25,17,14,"N","I",4,"SHOTGUN","3x1","OUT",FALSE,"TRADITIONAL",1.39999997615814,"INSIDE_BOX",6,"MAN_COVERAGE","COVER_1_MAN",NA,0,0,1.50539617426693,-0.63710896903649,0.633402440696955,0.366597559303045,0.0188275016844273,-0.0188275016844273
