top_contributor_nfl_id,plays,total_epa_prevented,avg_dacs,avg_collapse,player_name,position
46123.0,14,19.824151776731014,26.964285714285715,234.28571428571428,Jessie Bates,FS
55921.0,8,16.58233054727316,19.875,201.875,Unknown,UNK
53505.0,10,15.23578929901123,31.7,348.0,Paulson Adebo,CB
54562.0,15,13.738731972873211,69.93333333333334,570.6666666666666,Kerby Joseph,SS
40017.0,5,12.369432672858238,47.8,524.0,Tyrann Mathieu,FS
55869.0,7,12.336911004036665,37.5,286.42857142857144,Unknown,UNK
53494.0,10,12.168385449796915,55.15,546.0,Andre Cisco,SS
52547.0,9,11.938525639474392,48.55555555555556,509.44444444444446,Amik Robertson,CB
54479.0,9,11.929988756775856,38.55555555555556,402.22222222222223,Kyle Hamilton,FS
54554.0,6,10.110753625631332,14.166666666666666,179.16666666666666,Terrel Bernard,OLB
46077.0,6,9.839516662061214,32.583333333333336,336.6666666666667,Roquan Smith,ILB
53554.0,9,9.654768824577332,34.388888888888886,332.77777777777777,Camryn Bynum,FS
47877.0,5,8.933801792562008,3.4,133.0,Jamel Dean,CB
44926.0,6,8.486729048192501,51.5,628.3333333333334,Rayshawn Jenkins,SS
48447.0,7,8.35536139830947,14.857142857142858,221.42857142857142,P.J. Locke,FS
52627.0,8,7.978135149925947,11.1875,155.625,Geno Stone,SS
47816.0,6,7.676658987998962,25.916666666666668,321.6666666666667,Byron Murphy,CB
44854.0,8,7.667431682348251,33.3125,310.625,Marcus Williams,FS
45287.0,9,7.629030242562294,30.5,311.1111111111111,Kenny Moore,CB
46190.0,8,7.54838165640831,29.9375,278.125,Taron Johnson,CB
53476.0,8,7.450081877410412,14.0,166.875,Asante Samuel,CB
44911.0,8,7.3137956745922565,37.3125,356.875,Rasul Douglas,CB
52445.0,9,7.254687733948231,19.27777777777778,225.0,Kyle Dugger,FS
42543.0,5,7.026371981948614,42.8,390.0,Quandre Diggs,FS
52453.0,14,6.976736322045326,28.535714285714285,269.64285714285717,Antoine Winfield,FS
46137.0,14,6.438411060720682,62.392857142857146,565.3571428571429,Justin Reid,SS
53583.0,6,6.405523229390383,37.75,295.0,Michael Carter,CB
43373.0,6,6.396031968295574,43.666666666666664,375.8333333333333,Kendall Fuller,CB
38540.0,7,6.356416824739426,15.928571428571429,194.28571428571428,Stephon Gilmore,CB
52473.0,6,6.29783521220088,41.583333333333336,411.6666666666667,Logan Wilson,ILB
52594.0,6,6.19119668379426,24.75,247.5,Alohi Gilman,SS
39984.0,5,5.4121027290821075,38.2,443.0,Darius Slay,CB
56086.0,11,5.124549563974142,49.54545454545455,450.0,Unknown,UNK
